                                            #-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;
                                            # Date d'extraction : 23/01/2025;;;;;;;;;;;;;;;
                                            #-----------------------------------------------------------------------------;;;;;;;;;;;;;;;
"                                            # Ensemble	: EXPLORE2 2024 ";;;;;;;;;;;;;;;
"                                            # Experience	: Historique - rcp85";;;;;;;;;;;;;;;
                                            # Forcage atmos : CNRM-CM5_ALADIN63/MF-ADAMONT;;;;;;;;;;;;;;;
                                            # Modele hydro : SIM2;;;;;;;;;;;;;;;
                                            #-----------------------------------------------------------------------------;;;;;;;;;;;;;;;
                                            # Indices en série temporelle ;;;;;;;;;;;;;;;
"                                            #	VCN10 : (m³/s)Minimum annuel de la moyenne sur 10 jours du débit journalier";;;;;;;;;;;;;;;
                                            #----------------------------------------------------------------------------- ;;;;;;;;;;;;;;;
                                            # Format des enregistrements # ;;;;;;;;;;;;;;;
                                            Index;Code_hydro;Nom;L93_X;L93_Y;LII_X;LII_Y;Latitude;Longitude;Surface_Bassin;Period_Calcul_Indicateur;Region_hydro;Contexte;Année;Saison;VCN10
                                            #----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;
                                            Index;Code_hydro;Nom;L93_X;L93_Y;LII_X;LII_Y;Latitude;Longitude;Surface_Bassin;Period_Calcul_Indicateur;Region_hydro;Contexte;Année;Saison;VCN10
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;1996;MJJASON;2.7302778
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;1997;MJJASON;2.9391782
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;1998;MJJASON;2.9243057
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;1999;MJJASON;2.314977
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2000;MJJASON;2.4942825
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2001;MJJASON;3.1191783
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2002;MJJASON;2.6813195
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2003;MJJASON;2.418287
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2004;MJJASON;2.5884721
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2005;MJJASON;2.0968056
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2006;MJJASON;3.7099652
31;E182601001;La Hayne à Saint-Aybert;746132.0;7039383.0;693500.0;2606500.0;50.4498257;3.6525189;733.0;from 05-01 to 04-30;E-Fleuves côtiers (Escault, Somme, ...);Hist_rcp85;2007;MJJASON;2.5356135
